DDL,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],49
EHD,killed,tests/test_cli.py::test_cli_error_on_existing_output_directory,206
EHD,killed,tests/test_cli.py::test_echo_undefined_variable_error,217
EHD,killed,tests/test_get_user_config.py::test_get_user_config_valid,111
EHD,killed,tests/test_generate_files.py::test_generate_files,42
EHD,killed,tests/test_generate_context.py::test_generate_context_with_json_decoding_error,87
EHD,killed,tests/test_generate_file.py::test_generate_file_verbose_template_syntax_error,165
EHD,killed,tests/test_generate_files.py::test_raise_undefined_variable_project_dir,285
EHD,killed,tests/test_prompt.py::test_undefined_variable[Undefined variable in cookiecutter dict],206
EHD,killed,tests/test_prompt.py::test_undefined_variable[Undefined variable in cookiecutter dict with dict_key],225
EHD,killed,tests/test_utils.py::test_make_sure_path_exists,42
EXS,killed,tests/test_cli.py::test_cli_error_on_existing_output_directory,206
EXS,killed,tests/test_cli.py::test_echo_undefined_variable_error,217
EXS,killed,tests/test_get_user_config.py::test_get_user_config_valid,111
EXS,killed,tests/test_abort_generate_on_hook_error.py::test_hooks_raises_errors[post_gen_hook_raises_error],42
EXS,killed,tests/test_generate_context.py::test_generate_context_with_json_decoding_error,87
EXS,killed,tests/test_generate_file.py::test_generate_file_verbose_template_syntax_error,165
EXS,killed,tests/test_generate_files.py::test_raise_undefined_variable_project_dir,285
EXS,killed,tests/test_read_user_dict.py::test_process_json_invalid_json,88
EXS,killed,tests/test_prompt.py::test_undefined_variable[Undefined variable in cookiecutter dict],206
EXS,killed,tests/test_prompt.py::test_undefined_variable[Undefined variable in cookiecutter dict with dict_key],225
EXS,killed,tests/test_utils.py::test_make_sure_path_exists_correctly_handle_os_error,42
IOD,killed,tests/test_cli.py::test_cli_replay,59
IOD,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],118
IOD,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],124
IOD,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],13
IOD,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],26
IOD,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],43
IOP,killed,tests/test_cli.py::test_cli_replay,59
IOP,killed,tests/test_generate_hooks.py::test_empty_hooks,13
IOP,killed,tests/test_generate_hooks.py::test_empty_hooks,26
IOP,killed,tests/test_generate_hooks.py::test_empty_hooks,43
LCR,killed,tests/test_cli.py::test_cli_replay,44
LCR,killed,tests/test_cli.py::test_cli_replay,174
LCR,incompetent,null,104
LCR,survived,null,22
LCR,killed,tests/test_generate_files.py::test_generate_files_with_overwrite_if_exists_with_skip_if_file_exists,146
LCR,killed,tests/test_generate_files.py::test_ensure_dir_is_templated_raises[],223
LCR,killed,tests/test_generate_files.py::test_generate_files,274
LCR,killed,tests/test_hooks.py::TestFindHooks::test_find_hook,36
LCR,killed,tests/test_cookiecutter_local_with_input.py::test_cookiecutter_input_extra_context,55
LCR,killed,tests/test_specify_output_dir.py::test_api_invocation,55
