93,AOR
117,AOR
117,AOR
148,AOR
179,AOR
179,AOR
15,COI
27,COI
30,COI
48,COI
51,COI
69,COI
79,COI
86,COI
89,COI
90,COI
103,COI
110,COI
113,COI
114,COI
127,COI
141,COI
144,COI
145,COI
158,COI
172,COI
175,COI
176,COI
25,CRP
27,CRP
29,CRP
29,CRP
39,CRP
40,CRP
42,CRP
48,CRP
50,CRP
54,CRP
60,CRP
61,CRP
63,CRP
69,CRP
71,CRP
84,CRP
86,CRP
88,CRP
97,CRP
108,CRP
110,CRP
112,CRP
121,CRP
132,CRP
133,CRP
135,CRP
141,CRP
143,CRP
152,CRP
163,CRP
164,CRP
166,CRP
172,CRP
174,CRP
183,CRP
189,CRP
15,LCR
27,ROR
48,ROR
69,ROR
86,ROR
110,ROR
141,ROR
172,ROR
51,AOR
65,AOR
88,AOR
96,AOR
69,COD
92,COD
30,COI
36,COI
53,COI
59,COI
60,COI
67,COI
69,COI
76,COI
81,COI
82,COI
90,COI
92,COI
27,CRP
31,CRP
32,CRP
37,CRP
39,CRP
50,CRP
53,CRP
56,CRP
61,CRP
62,CRP
64,CRP
67,CRP
73,CRP
87,CRP
90,CRP
99,CRP
100,CRP
98,EXS
36,LCR
53,ROR
59,ROR
67,ROR
81,ROR
90,ROR
