,none,testBubbleSort,testInsertionSort,testHeapsort,testMergeSort,testQuicksort,testSelectionSort
none,0.5,0.5,0.5,0.5,0.5,0.5,0.5
testBubbleSort,0.5,0.0,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693
testInsertionSort,0.5,0.5192307692307693,0.0,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693
testHeapsort,0.5,0.5192307692307693,0.5192307692307693,0.0,0.5192307692307693,0.5192307692307693,0.5192307692307693
testMergeSort,0.5,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.0,0.5192307692307693,0.5192307692307693
testQuicksort,0.5,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.0,0.5192307692307693
testSelectionSort,0.5,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.0
