,40,27,113,145,29,69,108,73,59,166,36,110,32,88,121,127,63,42,84,103,117,176,179,37,76,56,48,175,81,82,135,53,71,174,148,183,30,61,86,87,114,164,93,98,39,62,50,144,112,90,97,172,163,51,158,89,99,54,96,31,143,133,64,60,100,189,15,65,79,92,141,25,67,132,152
,AOR,AOR,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,ROR,ROR,ROR,ROR,ROR,ROR,ROR,AOR,AOR,AOR,COD,COD,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,COI,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,CRP,EXS,LCR,ROR,ROR,ROR,ROR,ROR
test_convert_btc_to_cur_valid_currency (tests.test_bitcoin.TestBitCoinWithoutForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_convert_to_btc_on_with_valid_currency (tests.test_bitcoin.TestBitCoinWithoutForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_latest_price_invalid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_latest_price_valid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_previous_price_invalid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_previous_price_valid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_previous_price_list_with_invalid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_convet_to_btc_with_valid_currency (tests.test_bitcoin.TestBitCoinWithoutForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
test_convet_to_btc_with_invalid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_convet_to_btc_with_valid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_convet_to_btc_with_valid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_convert_btc_to_cur_valid_currency (tests.test_bitcoin.TestBitCoinWithoutForceDecimal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_convert_btc_to_cur_invalid_currency (tests.test_bitcoin.TestBitCoinForceDecimal),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
